[2013-02-25 15:56:28.0045], DEBUG, main org.springframework.core.env.StandardEnvironment - Adding [systemEnvironment] PropertySource with lowest search precedence
[2013-02-25 15:56:28.0046], DEBUG, main org.springframework.core.env.StandardEnvironment - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
[2013-02-25 15:56:28.0053], INFO , main org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
[2013-02-25 15:56:28.0055], INFO , main org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
[2013-02-25 15:56:28.0060], DEBUG, main org.springframework.core.io.support.PathMatchingResourcePatternResolver - Looking for matching resources in directory tree [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims]
[2013-02-25 15:56:28.0060], DEBUG, main org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims] for files matching pattern [D:/CECB/site-manager/server/web/target/classes/com/fourneth/ims/**/*.class]
[2013-02-25 15:56:28.0062], DEBUG, main org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\controller] for files matching pattern [D:/CECB/site-manager/server/web/target/classes/com/fourneth/ims/**/*.class]
[2013-02-25 15:56:28.0062], DEBUG, main org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\domain] for files matching pattern [D:/CECB/site-manager/server/web/target/classes/com/fourneth/ims/**/*.class]
[2013-02-25 15:56:28.0063], DEBUG, main org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\repository] for files matching pattern [D:/CECB/site-manager/server/web/target/classes/com/fourneth/ims/**/*.class]
[2013-02-25 15:56:28.0063], DEBUG, main org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\repository\impl] for files matching pattern [D:/CECB/site-manager/server/web/target/classes/com/fourneth/ims/**/*.class]
[2013-02-25 15:56:28.0065], DEBUG, main org.springframework.core.io.support.PathMatchingResourcePatternResolver - Resolved location pattern [classpath*:com/fourneth/ims/**/*.class] to resources [file [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\controller\LoginController.class], file [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\controller\SampleController.class], file [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\domain\Employee.class], file [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\repository\EmployeeRepository.class], file [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\repository\impl\EmployeeRepositoryImpl.class]]
[2013-02-25 15:56:28.0093], DEBUG, main org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\controller\LoginController.class]
[2013-02-25 15:56:28.0095], DEBUG, main org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\controller\SampleController.class]
[2013-02-25 15:56:28.0109], DEBUG, main org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\CECB\site-manager\server\web\target\classes\com\fourneth\ims\repository\impl\EmployeeRepositoryImpl.class]
[2013-02-25 15:56:28.0175], DEBUG, main org.springframework.beans.factory.xml.BeanDefinitionParserDelegate - Neither XML 'id' nor 'name' specified - using generated bean name [org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0]
[2013-02-25 15:56:28.0178], DEBUG, main org.springframework.beans.factory.xml.BeanDefinitionParserDelegate - Neither XML 'id' nor 'name' specified - using generated bean name [org.springframework.orm.jpa.vendor.HibernateJpaVendorAdapter#1b0d01b]
[2013-02-25 15:56:28.0179], DEBUG, main org.springframework.beans.factory.xml.BeanDefinitionParserDelegate - Neither XML 'id' nor 'name' specified - using generated bean name [org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerExceptionResolver#0]
[2013-02-25 15:56:28.0179], DEBUG, main org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loaded 30 bean definitions from location pattern [/WEB-INF/dispatcher-servlet.xml]
[2013-02-25 15:56:28.0179], DEBUG, main org.springframework.web.context.support.XmlWebApplicationContext - Bean factory for Root WebApplicationContext: org.springframework.beans.factory.support.DefaultListableBeanFactory@12ed6ed: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,loginController,sampleController,employeeRepositoryImpl,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0,propertyConfigurer,dataSource,messageSource,transactionManager,org.springframework.transaction.config.internalTransactionAspect,entityManagerFactory,org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerExceptionResolver#0]; root of factory hierarchy
[2013-02-25 15:56:28.0220], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[2013-02-25 15:56:28.0220], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[2013-02-25 15:56:28.0244], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
[2013-02-25 15:56:28.0245], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[2013-02-25 15:56:28.0331], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'propertyConfigurer'
[2013-02-25 15:56:28.0331], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Creating instance of bean 'propertyConfigurer'
[2013-02-25 15:56:28.0336], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Eagerly caching bean 'propertyConfigurer' to allow for resolving potential circular references
[2013-02-25 15:56:28.0377], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Finished creating instance of bean 'propertyConfigurer'
[2013-02-25 15:56:28.0377], INFO , main org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [ims.properties]
[2013-02-25 15:56:28.0384], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[2013-02-25 15:56:28.0385], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[2013-02-25 15:56:28.0386], INFO , main org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[2013-02-25 15:56:28.0386], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references
[2013-02-25 15:56:28.0386], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[2013-02-25 15:56:28.0386], DEBUG, main org.springframework.beans.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
